Time,Emotion,Confidence
13:12:54,neutral,95.6
13:12:54,neutral,89.47
13:12:54,neutral,62.15
13:12:54,neutral,86.32
13:12:54,neutral,93.19
13:12:54,neutral,37.26
13:12:54,fear,34.8
13:12:54,fear,54.73
13:12:54,neutral,81.14
13:12:54,neutral,85.8
13:12:55,neutral,95.43
13:12:55,neutral,99.16
13:12:55,neutral,89.75
13:12:55,neutral,89.81
13:12:55,neutral,94.54
13:12:55,neutral,87.99
13:12:55,neutral,52.46
13:12:55,neutral,78.89
13:12:55,neutral,72.05
13:12:55,neutral,46.52
13:12:56,angry,50.62
13:12:56,neutral,46.48
13:12:56,neutral,39.79
13:12:56,neutral,34.39
13:12:56,angry,34.7
13:12:56,neutral,57.6
13:12:56,neutral,64.83
13:12:56,neutral,88.17
13:12:56,neutral,97.59
13:12:56,neutral,90.1
13:12:57,neutral,91.98
13:12:57,neutral,69.41
13:12:57,neutral,86.56
13:12:57,neutral,66.96
13:12:57,neutral,73.8
13:12:57,happy,81.76
13:12:57,happy,95.13
13:12:57,happy,97.24
13:12:57,happy,99.21
13:12:57,happy,99.01
13:12:58,happy,90.97
13:12:58,happy,93.6
13:12:58,happy,92.43
13:12:58,happy,97.27
13:12:58,happy,96.29
13:12:58,happy,98.07
13:12:58,happy,97.68
13:12:58,happy,98.33
13:12:58,happy,98.88
13:12:58,happy,98.83
13:12:59,happy,99.33
13:12:59,happy,97.44
13:12:59,happy,95.41
13:12:59,happy,98.16
13:12:59,happy,98.35
13:12:59,happy,98.19
13:12:59,happy,96.0
13:12:59,happy,95.72
13:12:59,happy,93.5
13:12:59,happy,96.35
13:13:00,happy,94.41
13:13:00,happy,94.99
13:13:00,happy,94.77
13:13:00,happy,95.0
13:13:00,happy,89.94
13:13:00,happy,87.12
13:13:00,happy,98.41
13:13:00,happy,95.43
13:13:00,happy,90.8
13:13:00,happy,60.06
13:13:01,fear,39.45
13:13:01,neutral,93.68
13:13:01,neutral,85.72
13:13:01,neutral,69.95
13:13:01,neutral,83.93
13:13:01,neutral,56.21
13:13:01,neutral,98.33
13:13:01,neutral,97.44
13:13:01,neutral,96.84
13:13:01,neutral,95.33
13:13:02,neutral,89.08
13:13:02,neutral,91.77
13:13:02,neutral,82.41
13:13:02,neutral,80.56
13:13:02,neutral,62.08
13:13:02,neutral,92.29
13:13:02,neutral,91.17
